review_id,product_id,rating,comment,review_date
R0106,P015,4.0,Très bon rapport qualité prix.,2026-03-31
R0107,P002,3.0,Bon produit pour un usage quotidien.,2026-03-29
R0108,P009,4.0,Quelques lenteurs observées.,2026-02-04
R0109,P003,4.0,Interface fluide et installation facile.,2026-02-16
R0110,P017,4.0,Très bon rapport qualité prix.,2026-02-24
R0111,P024,3.0,"Produit satisfaisant, batterie correcte.",2026-02-21
R0112,P011,2.0,Interface fluide et installation facile.,2026-03-23
R0113,P004,3.0,Bon produit pour un usage quotidien.,2026-03-17
R0114,P016,3.0,Bon produit pour un usage quotidien.,2026-03-01
R0115,P010,5.0,"Produit satisfaisant, batterie correcte.",2026-03-30
R0116,P022,2.0,"Produit satisfaisant, batterie correcte.",2026-02-17
R0117,P001,3.0,Quelques lenteurs observées.,2026-02-08
R0118,P025,4.0,Autonomie décevante après une semaine.,2026-02-20
R0119,P012,2.0,"Produit satisfaisant, batterie correcte.",2026-02-16
R0120,P008,4.0,Bon produit pour un usage quotidien.,2026-02-05
